,Id_block_Mots_en_commun,Mots_en_commun,Id_block_Mots_differents,Mots_dans_nrc_pas_dans_elal,Id_block_Mots_als,Mots_en_alsacien,Id_block_text_fr,Text_fr,Id_block_text_als,Text_als
10,5.0,bizarre,,,1.0,Rhümatisse,10.0,"Il faut d'abord, père, qu'il me plaise, vous le savez.
Quoi, il faut qu'il te plaise ?
Vraiment, pas autre chose. Ça va de mieux en mieux.
Ah ! il faut qu'il te plaise.
Quelle idée te vient subitement ?
",10.0,"— Z'erscht muess 'r awer äu mir g'fälle, Vater, dass 'r 's wisse !
Was, dir muess 'r äu noch g'fälle ?!
— Schunsch nix, s'wurd als besser!
Ah er muess dir g'fälle ?
Was diss for Idee sin uff änmol!
"
11,5.0,maison,,,1.0,Rand,11.0,"Eh bien, quoi?
Il faut que je le voie d'abord, peut-on dire tout bonnement qu'on se marie avec un homme, dont on ne connaît ni la peau ni les cheveux et qu’on n'a jamais vu ?
Un homme peut-il écouter ce langage ?
on ne peut pas se marier avec un homme qu'on n'a jamais vu!
Marguerite, il faut que ceci t'entre dans la tête:
",11.0,"Allewäj, z’erscht muess i ne doch sahn ?
M'r kann doch nit mir nix dir nix säuje, dass m’'r e Mensche hieroth, wie m'r von Hütt un Hoor nit kennt, un wie m'r noch nie g'sahn hett !
Hör jetzt än Mensch die iwerzwärig Redesart an;
m'r kann e Mensche nit hierothe, wie m'r noch nit g'sahn hett !
— Grethl schrieb d'r diss hinger d’Ohre :
"
12,5.0,livre,,,1.0,Band,12.0,"Et moi je réponds : quand il serait encore une fois plus riche, s'il ne me plaît pas, je ne l'épouse pas.
S'il ne me plaît pas!
Il faut qu'il te plaise, c'est compris ? !
Et moi je t'engage à bien te tenir et à montrer du savoir-vivre.
Bref, voici ce que je décide: Vous vous voyez, vous vous plaisez et vous vous mariez.
",12.0,"Un ich säuj, er derft noch e mol e so rich sin dass ’r isch, wenn 'r m'r nit g'fällt, ze nimm i ne nit.
Wenn 'r m'r nit g’fällt!
— Er muess d'r g’fälle ! Verstande ?!
— Un dass dich guet schicksch un Savuar- Wiewr an de Daö leisch!
— Kurzum. er wäre e-n-ander sahn, er wäre e-n-ander g'fälle un muehn e-n-ander hierothe.
"
13,6.0,jouer,1.0,classe,1.0,Jesses,13.0,"A quoi sert cette richesse, s’il est bête comme une oie!
— Et vous le savez, on dit de Seppl qu'il est plus stupide que riche.
Tant mieux, dans ce cas, tu seras maîtresse dans la maison.
Non, ce n'est pas mon affaire.
Je ne veux pas d'un imbécile pour mari.
",13.0,"Was nutzt mich d'r Richtum, wenn 'r dumm isch wie e Brett!
— Un dass 'r 's grad wisse, m'r saöt vum Seppl, dass 'r noch viel dummer isch als rich.
Um so besser, no wursch dü Herr im Hüs.
Diss wär m'r nit guet genue.
E Simpel will i äu nit zuem Mann !
"
14,6.0,joie,2.0,nouveau,2.0,Ja,14.0,"De mon temps c'était autrement.
Ta défunte mère n’a pas réfléchi si longtemps quand elle dut se marier avec moi.
Et maintenant plus un mot; tu te marieras avec Seppl et alors Marie, ce sera à ton tour.
Il faut que tu prennes aussi un homme riche ;
son père doit être aussi maire, sinon plus.
",14.0,"Do isch's zu mine Zytte-n-andersch gewahn.
Dini Mueter sali het sich nit so lang bedenkt, wie se mich hierothe hett selle.
— Un jetzt kenn Wort meh, dü hierotsch de Seppl, un nochher kummt d'Reih an dich, Marie!
Dü muesch äu ebs rechts han;
siner Vater muess wenigstens äu Maire sin, wenn nit noch meh.
"
15,7.0,opinion,,,2.0,satt,15.0,"Je pense au second fils du maire de Hinterschhuse, c'est ton affaire.
Que Dieu me garde, père ! d'avance je refuse cet animal.
Et, du reste, tu sais déjà que je ne veux pas d'un paysan.
Marie a raison.
A raison ?
",15.0,"Ich denk im Maire von Hinterschhüse siner zweit Sohn, diss wär so diner Fall.
B'hüet mich Gott, Vater, denne Mummel will ich schun owe-n-eweck nit.
Un du reste, ze waisch jo, dass ich pardü kenn Büür will.
S'Marie hett grad recht.
Grad recht?!
"
16,7.0,demander,2.0,laisse,2.0,uff,16.0,"Je crois que vous voulez me faire la loi?
Qu'est-ce que cela veut dire ?
Suis-je votre père ou non ? Suis-je le maire ou non ?
Opposition au Conseil communal, opposition dans la cuisine, opposition dans la famille!
— Aïe mes rhumatismes!
",16.0,"— Ich gläub, ihr welle mir G'setzer vorschriewe ?
Ja, was sell denn diss beditte ?!
— Bin ich ejer Vater oder nit, bin ich Maire oder nit ?!
— Opposition im Gemänderoth, Opposition in d'r Kiche, Opposition in d'r Fameli!
— Ei mini Rhümatisse!
"
17,8.0,bon,3.0,faire,2.0,Wihnachte,17.0,"— Nom d’un chien !
Non, je n’en veux pas.
Je veux un homme de la ville et aucun autre, et tu ne dois pas t’étonner s'il en vient un, quelque jour, pour demander ma main.
De mieux en mieux;
un homme peut-il recevoir la leçon de ses enfants ? Personne n’a jamais vu cela.
",17.0,"— Fahnebibbel noch emol !!
Nee, ich will kenner!
E Stadtherr will i un schunsch kenn andere, un dü muesch dich gar nit wund’re, wenn am-e scheene Däuj äner kummt un um mich anhalt.
S'kummt als besser,
jetzt hör mir än Mensch die King an, hett m'r sin Däuj-des-Lewes schun e so ebs g'sehn.
"
18,8.0,justice,3.0,jus,2.0,lon,18.0,"Eh bien, écoute-moi avec attention : le premier homme de la ville qui a le malheur d'entrer dans la maison pour demander ta main,
je lui souhaite bonne nuit;
je vais chercher dans la petite chambre le fusil avec lequel je tire les rats et qui est chargé, et je lui brûle la cervelle!
Ah, tu veux un homme de la ville ?
Ce sont des projets que tu as formés dans ta pension.
",18.0,"— Diss will i d'r g'säit han, der Stadtherr, wie s'Malheur hett, emol do in min Hüs ze kumme, for um dini Hand anzehalte:
guet Nacht dem !
— Die Doppelflint, wie ich gelade in d'r Kammer stehn hab, um Ratte mit ze scheesse, die hol i un schees ne mit iwer e Hüffe!
Ah dü witt e Stadtherr ?
Diss sin vun denne Plän, wie dü mitgebrocht hesch üs d'r Pension.
"
19,9.0,médaille,3.0,soupe,2.0,Rhümatisse,19.0,"un écrivailleur, un lécheur d'encre, cela ferait ton affaire de jouer à la belle dame avec des robes à volants derrière et devant, d'aller au théâtre, de mettre des chapeaux garnis d'oiseaux et de plumes, d'aller à bicyclette, au lieu de tourner le rouet, d'être sanglée dans un corset de telle façon que tu ne puisses manger que du macaroni.....
Ah, c'est comme ça.
Attends un peu, je veux chasser ces choses de ta tête.
Il faut que tu épouses un paysan, pas un autre homme qu'un paysan, et puis basta.
C'est une drôle d'organisation, quand on a des filles qui veulent tout bonnement épouser d’autres hommes que ceux que le père a choisis.
",19.0,"— So e Federfuchser, so e Tinteschlecker, diss thät d'r passe, un d'rbie d'Madame speele, Volan hinge un vorne an de Röck han, in's Theater gehn, Huet uffsetze mit Vöjel, Feddre un Spatzefueder drowe, Velo fahre, statt s’Spinnrädel trette, un g'schneert sin, dass de numme noch Macroni asse könsch......
Ah so ?!
Na, wart die Nübbe will i d'r schun üs 'm Kopf triewe.
Dü hierothsch e Büür, nix andersch as e Büür, un do d’rmit baschta!
Diss wär noch e scheeni Ordnung, wenn m'r Töchter hett, un die wotte hierothe so mir nix dir nix e-n-anderer as ne d'r Vater erüsg’suecht hett.
"
20,9.0,temps,,,3.0,Hüs,20.0,"Bonjour tout le monde.
Bonjour, qu'est-ce que vous m'apportez de nouveau ?
Voici une lettre de la sous-préfecture.
Aïe ! mes rhumatismes !
Une lettre de la sous-préfecture ?
",20.0,"Guete Morje binand.
Guete Morje, was bring-n-r nejs ?
Do e Breef vun d'r Kreisdiraktion.
Ei mini Rhümatisse !
— E Breef vun d'r Kreisdiraktion ?
"
21,9.0,chance,4.0,dîner,3.0,allewyl,21.0,"que, peut-il y avoir là-dedans ?
J'ai remis la même lettre à Altbirel de Holze, peu de temps avant qu'il donne sa démission.
Tonnerre!
cela devait arriver à la fin
Tant pis!
",21.0,"Was muess jetzt do drinne stehn ?
So hawi im Altbierel vun Holze äne gebrocht, kurz ehb dass 'r sini Demission gän hett.
Himmelgalee !
Sott am End ?
Ah ba !
"
22,9.0,homme,4.0,jus,4.0,Herr,22.0,"Comment Schulzebür ?
Je me demande comment cet imbécile a pu obtenir l'ordre de la couronne ?
Oui, ce qui est vrai, doit rester vrai, M. le Maire.
Mettez que je n'aie rien dit, mais je n'ai pas pu me contenir.
Si maintenant un homme comme vous, de votre mérite, était décoré, à la bonne heure, cela se comprendrait.
",22.0,"Ehb dass d'r Schulzebüür....?
Jetzt fröuj ich mich for was, dass der Simpel e-n-Orde bekumme het ?!
Ja, was wohr isch, muess wohr bliewe, Herr Maire !
Ich will nix g'säit han, awer ich begriffs äu nit.
Wenn jetzt e Mann wie ihr, vun ejrem Verdienst... à la bonne heure, diss thät m'r verstehn !
"
23,10.0,père,4.0,soupe,5.0,Fränz,23.0,"Heu!
Ce n'est pas pour me flatter, mais je puis dire que j'ai fait beaucoup plus que ce Schulzebür.
Si je voulais parler de mon mérite.
Je suis maire depuis 25 ans, j'ai eu cinq fois des récompenses aux expositions de bestiaux, je fais partie de la société des combattants, je vais à toutes les conférences agricoles, j'ai recommandé chaudement, et de tout cœur, les engrais chimiques aux paysans, je lève poliment mon chapeau devant Monsieur le Gendarme
en 25 ans je n'ai manqué à aucun banquet organisé à l'occasion de la fête de l'Empereur, j'ai toujours travaillé pour le candidat du Gouvernement, j'ai pris deux actions de la sucrerie d’Erstein ;
",23.0,"Hm!
s’isch nit for mi ze rüehme, awer diss kann i säuje, dass i wenigstens so veel wie d'r Schulzebüür geleischt hab.
Wenn i d'rvun redde wott vun mine Mérites....
Ich bin jetzt 25 Johr Maire, bin fünf Mol prämeert worre uff Viehüsstellunge, bin im Kriejerverän, geh uff alli landwirtschaftliche Conferenze, hab de Kunschtmischt de Büüre uff's wärmscht an’s Herz geleit, zej höfli de Huet ab vor'm Herr Gendarm
hab in fünfezwanzig Johr kenn Kaiserasse verfahlt, hab allewyl for de Kandidat vun d'r Regeerung g'schafft, hab zwei Aktie genumme in d'r Zuckerfawrik vun Erstän,
"
24,10.0,idée,,,5.0,wunderlichi,24.0,"«Vous êtes mon homme», son altesse sérénissime m'a serré la main à la dernière distribution des prix pour le concours des bestiaux, sans que je le lui aie demandé!....
Pensez-vous, sa main dans ma main!
Schulzebür ne pourrait pas en dire autant.
Oui, ce qui est vrai doit rester vrai; s’il y a un homme qui ait mérité cette médaille, c’est vous.
Je le dis du fond du cœur.
",24.0,",,Sie sind mein Mann”, un ihri Dürichläuft hett m'r uff d'r letschte Veehprämierung ejehandig d’Hand gedrickt, ohne dass i ne drum gebette hab !...
Bedenke e so e Hand in minere Hand...
Eb diss d'r Schulzebüür äu alles säuje könnt ? !
Ja, was wohr isch, muess wohr bliewe, wenn äner de-n-Orde verdeene thät, ze sin ihr’s;
ich saös vun d'r Bruscht eweck.
"
25,11.0,bien,5.0,femme,5.0,Hüs,25.0,"C'est seulement pour qu'on parle de moi.
Ayons le meilleur espoir et au revoir tout le monde.
Ah, il faut que Françoise lui donne un verre de vin, dans la cuisine
Françoise, donnez au facteur un verre ce vin et un morceau de Kugelhopf.
Je suis très curieux de savoir ce qui est écrit dans cette lettre
",25.0,"s'isch numme-n-um d'rvun ze redde.
Welle m'r s'bescht heffe, un adje bienand !
Ah! d'Fränz sell i e Glas Wien ingschenke-n-in d'r Kiche
Fränz schenke-n-im Breefbot e Glas Wien ing un gän m'e Kuejllupf.
Jetzt ben-i doch wunderfitzi, was in dem Breef steht.
"
26,11.0,homme,,,5.0,perfekt,26.0,"Ah!
Qu'est-ce qu'il y a, père ?
Enfants, chères enfants.
Père ?
Mes chères enfants, un monsieur de la sous-préfecture viendra un de ces jours chez nous —
",26.0,"Ah!
Was isch Vater ?
King, leewi King !
Vater ?
Ihr leewe King, es kummt e Herr vun d'r Kreisdiraktion zue üns äne vun denne Daj !
"
27,11.0,marier,,,5.0,hin,27.0,"«Mon neveu, Monsieur l'Assesseur du Gouvernement
— c’est peut-être une espèce d'inspecteur —
l'assesseur du Gouvernement Miller
— il s'appelle Miller — passera un de ces jours chez vous
— passera ?
",27.0,"Mein Neffe, Herr Regierungsassessor
diss isch allewaj e so e-n-Art Inspacter
— Regierungsassessor Miller —
Miller hesst 'r — wird einer dieser Tage bei Ihnen vorsprechen —
Vorsprechen?
"
28,12.0,bien,5.0,indulgence,5.0,Pfund,28.0,"—
Comme il s'occupe d'agriculture, je vous prie de lui montrer tout ce qui peut l'intéresser.
En outre, sur mon ordre, il vous parlera d'une affaire personnelle importante
«Respectueusement»
Le sous-préfet!
",28.0,"—
Da er sich eingehend mit dem Studium der Landwirthschaft befasst, so bitte ich Sie, ihm alles zü zeigen, was ihn interessieren könnte.
Er wird Sie äusserdem in meinem Äuftrage in einer wichtigen persönlichen Angelegenheit sprechen.
Hochachtungsvoll
D'r Kreisdirakter !
"
29,13.0,richesse,5.0,jus,5.0,gemacht,29.0,"Il écrit «Respectueusement — Respectueusement».
Ah !
il y a encore quelque chose
Post-scriptum :
Conformément à votre désir, j'ai signalé à la plus haute autorité votre servante Françoise, dont le fidèle dévouement à votre maison
",29.0,"Hochachtungsvoll schriebt ‘r !
— Hochachtungsvoll !...
Ach, do steht noch ebs
Nachschrift:
Ihrem Wunsche gemäss, habe ich an höchster Stelle äuf ihre Magd Fränz äufmerksam gemacht, von deren treuer Hingabe an ihr Häus....
"
30,13.0,bête,5.0,lieu,5.0,uff,30.0,"— ainsi que son attitude obéissante
— ah, ah!
—
ainsi que son attitude obéissante pendant 40 ans, dont vous m'avez fait une peinture si séduisante
— Ah, ah!
",30.0,"— so wie deren gehorsames Verhalten....
Ä häh!
—
deren gehorsames Verhalten während 40 Jahren, Sie mir eine so lebhafte Schilderung gemacht haben.
Ä häh!
"
31,13.0,stupide,,,6.0,fin,31.0,"Hem... récompenser et honorer...
Si le sous-préfet savait l’histoire des pâtés au jus et des boulettes de moëlle, il n'écrirait sûrement pas cela —
Qu'est-ce qu'il faut faire maintenant ?
Il faut que j'écrive de nouveau cette histoire dans la cheminée.
Mais je garantis que, dès qu’elle aura la croix de la femme du kaiser, il faudra qu'elle parte!
",31.0,"Hm, belohnen und zu ehren...
Hm, wenn diss d'r Kreisdirakter gewisst hätt mit de Suppepastetle und mit de Marikknöpfle, ze tät ’r nit halwer e so schriewe.
Was isch jetzt do ze mache?
— Jetzt muess i die G'schicht widd'r in's Kamin schriewe.
Awer diss garanteer-i, wie se-n-ihr Kriz het vun d'r Kaisere, no muess se zuem Hüs nüs !
"
32,13.0,maison,6.0,poupée,6.0,speele,32.0,"Personne ne pense à moi, et pourtant je me suis échiné comme maire depuis 25 ans — peut-être qu’en fin de compte
il me parlera d'une affaire personnelle ......
Il me semble qu’en fin de compte, il doit y avoir quelque ruban qui flotte dans l'air pour moi, ça me plairait beaucoup;
si j'obtenais une décoration, les opposants, et encore plus l’adjoint, en crèveraient de rage.
Marie, n'est-ce pas que le facteur a dit que Schulzebür avait, lui aussi, reçu une lettre avant d'obtenir la décoration ?
",32.0,"An mich, wie 25 Johr als Maire sich abg'schunge hett, denkt nemes — oder sott am End...
in einer wichtigen persönlichen Angelegenheit sprechen...
Sott am End doch e-n-Orde in d'r Luft for mich erumflattere....
S'wär m'r zü anständi, wenn i so e-n-Orde bekämt, do thät d'Opposition un owedran d'r Adjund verknelle for Wueth....
Marie, hett nit d'r Breefbot g'säit, dass d'r Schulzebüür so e Breef bekumme hett, ehb dass 'r de-n-Orde bekumme hett ?
"
33,13.0,imbécile,6.0,soie,6.0,Fränz,33.0,"Oui, et l'Altbirel de Holze a aussi reçu une lettre avant de donner sa démission, ou, comme d’autres disent, avant qu'on ne la lui ait imposée.
Qu'on ne la lui ait imposée ?
De cela je n'ai pas peur ...
ou
en fin de compte, l'opposition m'aurait-elle couvert d’ordures, m’aurait-elle noirci chez le sous-préfet ?
",33.0,"Ja, un d'r Altbierel vun Holze, ehb dass 'r sini Demission gän hett, od'r wie anderi säuje, ehb dass ‘r weckg'schmisse worre-n-isch.
Weckg'schmisse worre-n-isch ?
Do d'rfor brüch ich kenn Angst ze han....
od’r
sott am End d’Opposition mir Dreck in de Läme gemacht han un mich bim Kreisdirakter ang’schwärzt han ?
"
34,14.0,temps,6.0,pension,6.0,Hüs,34.0,"Me trahira-t-il à cause de mon arrière-cousin qui est officier dans l’armée française, ou parce que je mets du sucre dans mon vin....?
Mais non, ils font tous cela...!
ou bien, parce que j'ai attrapé mes rhumatismes en 70 dans la casemate de Strasbourg ?
Si j'étais à ta place, je ne me casserais pas la tête dès maintenant.
Tu as raison, et, comme on dit, je n'ai rien à me reprocher, et rien à risquer !
",34.0,"Sotte se-n-am verrothe han, dass i e-n-Arrièrecousin hab, wie französcher Officier isch, od'r dass í als Zucker in mine Wien mach...?!
Awer nee, diss mache se jo alli....!
Od'r, dass i mini Rhümatisse anno 70 in de Casematte vun Strossburri als Gardmobil verwitscht hab?!
Do thät i m'r jetzt de Kopf nit driwwer verbreche.
Dü hesch recht, un wie g'säit, ich hab mir nix ze reproscheere un nix ze reskeere!
"
35,14.0,mère,,,6.0,verdorwe,35.0,"25 ans Maire, 5 fois primé, membre de la Société des Combattants, des conférences agricoles, des engrais chimiques, j'ai toujours travaillé pour le candidat du Gouvernement
je n'ai jamais voté pour lui, c'est la vérité, mais on ne peut pas le savoir!
Son altesse m'a serré la main …
Vraiment, mes enfants, je n'ai rien à risquer....
rien à risquer.
",35.0,"25 Johr Maire, fünf Mol prämeert, Kriejerverän, landwirthschaftliche Conferenze, Kunstmischt, hab allewyl for de Candidat vun d'r Regeerung g'schafft....
for ne g'stimmt hawi zwar nie, diss isch wohr, awer diss kann m'r doch nit wisse !
— ihri Durichläuft hett m'r eijehandig d’Hand gedrickt...
Richti ihr King ich hab nix ze reskeere...
nix ze reskeere...!
"
36,14.0,marier,6.0,insuffisant,6.0,allewyl,36.0,"Avant tout, Marie, tu vas mettre le tableau du Vieux Napoléon dans un coin de la chambre, de façon qu'on ne le voie pas et, à sa place, tu accrocheras le dernier diplôme que nous avons eu pour notre bœuf gras.
Ce monsieur de la Sous-Préfecture ne serait pas mangé par Napoléon.
Ça ne fait rien, il vaut mieux mettre le diplôme du bœuf gras à la place.
Et toi, Marguerite, lu vas pendre dans ta chambre ce tableau où figure le numéro que j'ai tiré en 1866 pour la conscription, et le remplacer par le portrait du cousin Georges en uniforme de cuirassier de la Garde Prussienne de Berlin, car ces Messieurs de la sous-préfecture aiment beaucoup voir ce genre de tableau.
En attendant, je vais vivement faire un saut chez le maître d'école pour lui recommander de mettre toutes les écritures en ordre; enfin je veux parler à l'adjoint de telle façon qu’il en crévera de rage
",36.0,"For alle Sticke Marie henksch m'r diss Täfele do eweck vum alte Napoleom, erix in e Zimmer, wie's neemes sehn kann, un henksch diss letscht Diplom an de Platz, wie m'r for unsere fette-n-Ochse bekumme han.
D'r Napoleon thät denne Herre vun d'r Kreisdiraktion doch nit frasse.
S'macht nix, s'Diplom vum e fette-n-Ochs am Platz isch 'm leewer.
Un dü Grethl henksch m'r diss Täfele eweck, wie min Numero drinne steht, wie i anno 66 gezöüje hab, wie i g'speelt hab, un henksch m'r s’Portrait an de Platz vum Vetter Schorsch als Gardekürasseer vun Berlin, denn diss sahn die Herre vun d'r Kreisdiraktion gäre...
En attendant will i g'schwind e Sprung niwwer zuem Schuelmeischter, for dass 'r d'Schriewereije alli in Ordnung bringt, un dass m'r schunsch jo neemes nix erfahrt, denn ich will im Adjund äns ingbrocke, verknelle muess 'r for Wueth
"
