id,titleMain,titleSub,shortName,displayMode,edition,authorKeyBnf,authorKeyPnd,authorKeyVIAF,authorKeySUDOC,authorKeyWikidata,author,mtlAuId,publisher,musicBy,mtPbId,collection,licence,target,genre,sous-genre,ambiance,wikidata,numistralSource,urlNotNumistral,bnfSource,source,authorKeyBnf2,authorKeyPnd2,author2,publisher2,publisherFirstEdition,mtPbIdFed,print,thisEdition,premiere,premiereDate,written,premiereCity,premiereTheater,nb actes,nb scenes/acte,hasScenes,castListLang,castListIntro,roleDescSeparator,lang,comments,synthesis
11,s Gaischtert im Hüss,E grüsligi Szene vun Ferd. Bastian,bastian-s-gaischtert-im-huss,html,,,,,,Q13099282,Ferdinand Bastian,1,"Librairie « Sostralib », Strasbourg",,4,,,,horreur,,urbaine,Q106588367,bpt6k9109698n,,,Numistral,,,,,,,not before 1927,,,,not before 1868;not after 1944,,,1,,,gsw,Persone:,,,"sostralib founded 1930, http://maisons-de-strasbourg.fr.nf/vieille-ville/h-k/rue-des-hallebardes/20-rue-des-hallebardes/","1 scène. Un appartement de cinq étages obtient la mauvaise réputation d’abriter un fantôme et personne ne veut plus le louer. Le propriétaire Winkel et l’architecte Meter y restent jusqu’à minuit pour chasser l’esprit malveillant... qui s’avère être un escroc bien humain.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
12,D'Madam fahrt Velo,E modern's Lustspiel in 1 Akt,horsch-d-madam-fahrt-velo,tei,,,,,,Q13099277,Adolphe Horsch,9,"Elsassische Aktien-Gesellschaft für Buchhandel und Publicität, vormals A. Ammel",,80,,,,comedy,lustspiel,urbaine,Q107247581,bpt6k9109569k,,,Numistral,,,,,,,1901,,,,,,,1,10 scenes,,gsw,Persone:,,,,"Juliette, récemment passionnée de cyclisme, a prévu de faire un tour de vélo jusqu’à Allerheilige avec sa mère (Mme Trett), sa belle-sœur, sa servante et Herr Blotzmeier. Le mari de Juliette, Contre, refuse de les accompagner en vélo et trouve que les femmes ne devraient pas faire de vélo car ce n’est pas une activité gracieuse. Il les suivra en train mais s’inquiète de la présence et du comportement de Herr Blotzmeier, qui est amoureux de Juliette. Juliette pense que Herr Blotzmeier n’est pas amoureux d’elle, mais plutôt de la sœur de Contre, Ursule. La servante, Colette, reçoit un mot de son amant lui disant qu’il passera lui rendre visite le jour même, et elle décide donc de crever le pneu de son vélo pour ne pas avoir à accompagner les autres et pouvoir rester à la maison. Juliette et les autres partent pour le tour en vélo, mais rentrent vite car ils sont tous tombés et sont blessés. L’amant de Colette a aussi annulé sa visite. Pendant que Mme Trett et Ursule sont parties se soigner, Herr Blotzmeier déclare son amour à Juliette. Elle est choquée et ne partage pas ses sentiments. Lorsque Ursule et Mme Trett reviennent, Juliette ment et annonce que Herr Blotzmeier vient de lui avouer qu’il est amoureux d’Ursule et souhaite l’épouser. Ursule est heureuse car elle était secrètement amoureuse de lui, et accepte la demande en mariage. Contre est rassuré et réussit à convaincre Juliette d'arrêter de faire du vélo, et de rester à sa place à la maison. (Synopsis by B. Hoff, MeThAL)"
13,E Mässigkeitsaposchtel,Komische Szene mit Gesang in elsässer Mundart von Emilie Hahn,hahn-e-massigkeitsaposchtel,ntav,,,,,,Q96475210,Emilie Hahn,7,"Buchdruckerei des „Elsässer“, Straßburg",,9,,,,comedy,,rurale,,bpt6k91095685,,,Numistral,,,,,,,1910,,,,,,,1,,,ger,Personen,,,,
14,D'r Stadtnarr,Volksstüeck in 3 Akt.,hart-dr-stadtnarr,html,,,,,,Q1897363,Marie Hart,8,Schlesier & Schweikhardt,,1,,,,comedy,volksstück,petite ville,Q107433755,bpt6k9109767f,,,Numistral,,,,,,,1907,,,,,,,3,,,ger,Personen:,,,,"Virginie Hering, fille du maire de Burbach, et Paul Engelbach, fils du notaire, sont fiancés et vont célébrer avec leurs familles. Une amie d’enfance de Virginie, Lisette, couturière, vient lui rendre visite pour la féliciter et lui faire des ajustements sur une tenue. Lisette et Edmond Hering, le frère de Virginie, auraient aussi envie de se marier, mais ont peur de la réaction des parents d’Edmond, qui ne seraient pas favorables à leur union, car Lisette est couturière et vient d’une famille pauvre. Edmond n’était pas bon à l’école, et a appris le métier de charpentier chez le père de Lisette, Wendling, le Stadtnarr. Les familles Hering et Engelbach célèbrent et Mme Hering critique son fils, qui avoue qu’il veut épouser Lisette, peu importe l’avis de ses parents. Ils se disputent, et Edmond dit qu’il a légalement l’âge de faire ce qu’il veut et qu’il épousera Lisette même sans le consentement de M. et Mme Hering. Mme Engelbach annonce qu’elle refuse que son fils Paul épouse Virginie si un tel scandale se passe dans la famille. Wendling, le père de Lisette vient pour la chercher, et se dispute avec les autres, après qu’ils l’insultent. Paul et Virginie, et Edmond et Lisette, se retrouvent la nuit pour trouver une solution, mais voient M. Herring et M. Engelbach rentrer du bar, et écoutent leur discussion. Ils ont découvert que l’héritage de Bläsius, un riche habitant de la ville revient à Wendling, car Bläsius a jugé qu’il était l’homme le plus raisonnable de la ville. Ils l’annoncent à Wendling, et lui expliquent que s’il est riche, les mariages de leurs enfants ne poseront plus aucun problème. Wendling dit qu’il ne veut pas accepter l’argent et veut le rendre aux descendants de Bläsius, car il n’aime pas l’attitude des gens riches. Les enfants sortent de l’ombre et révèlent qu’ils ont entendu la conversation. Lisette et Edmond disent qu’ils comprennent Wendling, mais qu’ils sont profondément malheureux. Wendling accepte d’hériter l’argent, pour le bonheur des enfants. Les familles Hering, Engelbach et Wendling doivent se rejoindre à la mairie pour que Wendling signe le testament, mais il arrive en pleine crise de folie, une maladie qu’il a attrapée en Afrique lors de la guerre. Wendling dit qu’il ne signera pas et déchire le papier. Lisette et Edmond disent qu’ils comprennent la décision de Wendling, et qu’ils se marieront quand même. Mme Engelbach refuse alors le mariage de Paul et Virginie, qui annoncent à leur tour qu’ils s’enfuiront alors à Paris. Paul n’a pas besoin de l’accord de ses parents, car il est aussi légalement indépendant, et demande le consentement de M. et Mme Hering pour épouser Virginie. Ceux-ci acceptent alors les deux mariages. M. Engelbach accepte aussi, et sa femme est obligée de faire de même. (Synopsis by B. Hoff, MeThAL Project)"
15,Zwei Meier oder D'r Bombié,Comedie-Bouffe in 1 Act,horsch-zwei-meier-oder-dr-bombie,html,,,,,,Q13099277,Adolphe Horsch,9,"A. Ammel, Verlagsbuchhandlung",,8,,,,comedy,comedie-bouffe,urbaine,Q107428564,https://www.numistral.fr/ark:/12148/bpt6k9109571n.pdf,,,Numistral,,,,,,,1896,,,,,,,1,9 scenes,,gsw,Personne:,,,,"C’est le jour du mariage d’Uegenie Spritzhans avec Lüi Meyer, un homme choisi par ses parents, un pompier connu et adoré, pour continuer la tradition familiale d’hommes pompiers dans la famille. Uegenie se lamente car elle n’aime pas Lüi, et écrit une lettre à l’homme qu’elle souhaiterait épouser à la place, Louis Meyer, que sa servante Coraline doit délivrer. Avant le mariage, Lüi et ses témoins rejoignent Uegenie et ses parents dans leur maison, et discutent. Les parents d’Uegenie sont en admiration devant Lüi, un pompier passionné. Juste avant de partir pour l’église, un feu se déclare à la Krutenau et Lüi, les témoins et les parents y vont pour l’éteindre. Pendant ce temps, Uegenie reste chez elle, et Louis vient lui demander de l’épouser, car il ne savait pas qu’elle allait se marier à un autre le jour même. Ils décident de profiter de l’absence de tout le monde pour aller se marier à la mairie, car Louis Meyer a le même nom et date de naissance que Lüi Meyer. Lorsque les parents, Lüi et les témoins rentrent de l’incendie, Uegenie n’est pas là, et les parents ont peur qu’elle se soit enfuie ou suicidée, et se rendent compte qu’elle n’aimait pas Lüi, et qu’ils se sont trompés sur lui. Uegenie et Louis rentrent, mariés, et expliquent la situation. Les parents sont soulagés qu’elle soit rentrée et acceptent leur mariage. (Synopsis by B. Hoff, MeThAL)"
16,s Dunneraxl,Drama in einem Akt,bastian-s-dunneraxl,html,,,,,,Q13099282,Ferdinand Bastian,1,C. A. Vomhoff,,5,,,,drama,,rurale,Q107505888,bpt6k9109706r,,,Numistral,,,,,,,1907,1922,,,,,,1,11 auftritte,,ger,Personen.,,,,"Pfrimmer, un paysan qui vit dans un village du Kochersberg, prie et discute avec sa servante Nanel. Il y a un orage, et Pfrimmer a peur que la foudre touche sa ferme. Pfrimmer dit qu’il aimerait bien avoir un Dunneraxl (un talisman) pour se protéger de l’orage. Nanel lui révèle que leur voisin, Franke-Hanse possède un Dunneraxl. Elle lui montre aussi des lettres que s’envoient Valérie, la fille de Pfrimmer, et le fils de Franke-Hanse, Valte, qui revient bientôt de l’armée. Bajeschel, un courtier, arrive, car Pfrimmer souhaite vendre un terrain, l’Abtsbarj. Bajeschel lui offre 90000 livres, mais Pfrimmer veut 100 000 livres. Bajeschel le force à signer pour 90000 et lui rappelle l’histoire du terrain en question, que le grand-père de Pfrimmer a volé. Il repart. Valte arrive, il rentre de l’armée et souhaite voir Valérie car ils s’étaient promis de se marier avant qu’il ne parte. Pfrimmer dit que Valérie doit partir au couvent comme sa grande sœur, et qu’ils ne peuvent donc pas se marier. Finalement, Pfrimmer accepte que Valte marie sa fille s'il lui ramène le Dunneraxl en échange. Quand Valérie rentre, Pfrimmer lui dit qu’elle doit tout de suite partir au couvent, mais Valérie lui dit qu’elle attend Valte et qu’elle veut se marier avec lui et avoir des enfants. Pfrimmer lui dit que sa femme (morte des années auparavant) lui est apparue dans son sommeil pour lui dire qu’il fallait absolument envoyer Valérie au couvent. Valérie s'énerve et lui reproche d’avoir une liaison avec Nanel, et d’envoyer ses filles au couvent pour pardonner ses propres péchés. Elle lui demande aussi de se débarrasser de l’Abtsbarj. Valte revient, donne le Dunneraxl à Pfrimmer et se réjouit de revoir Valérie. Soudain, la foudre frappe, et on apprend qu’elle a touché la mère de Valte, qui est décédée de l’impact. Valte est choqué et regrette d’avoir donné le Dunneraxl à Pfrimmer, et pense qu’il a indirectement causé la mort de sa mère. Valte revient avec une hache et menace Pfrimmer pour qu’il lui rende le Dunneraxl. Pfrimmer refuse, mais Valte l’attaque et repart avec le Dunneraxl. (Synopsys by B. Hoff at the MeThAL project)"
17,D' Madam und d'Magd,Schwank in einem Aufzug,greber-d-madam-und-d-magd,html,,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,schwank,petite ville,,bpt6k9109553q,,,Numistral,,,,,,,1903,,,,,,,1,22 scenes,,ger,Personen:,,,,
18,D' Brueder,"Volksstück in 5 Bilder üs dr Zitt vun 1914 bis 1918|vun Paul Clemens, Membre du Théâtre Alsacien",clemens-d-brueder,html,,,,,,Q96464291,Paul Clemens,3,"Société Alsacienne d'Édition (Alsatia) S. A., Colmar",,10,,,,comedy,volksstück,rurale,Q106592290,bpt6k9109541h,,,Numistral,,,,,,,1920,,,,,,,5 bilder,,,gsw,Persone:,,,,"Volksstück en 5 actes, se situe au moment de la Première Guerre Mondiale. Les frères éponymes sont deux fils du paysan Kuenz, très différents en personnalité et en apparence. L’aîné François est brun et marche dans les traces de son père dans l’agriculture, tandis que le cadet Lucien est blond et se passionne pour la littérature et les arts, ce que sa mère encourageait avant de mourir tôt (le motif des frères opposés apparaît presque sous la même forme dans le roman Pierre et Jean de Maupassant). François est victime de chantage par le garde-chasse roux qui le force à voler de l’argent dans la caisse de son père. D’abord très réticent, il effectue tout de même la demande du garde-chasse et pour échapper à tout soupçon, témoigne contre son frère Lucien avec des fausses preuves. Le père Kuenz étant déjà contre des tendances littéraires de son cadet, le chasse de la famille en l’accusant de voleur. Lucien se retrouve humilié, sans famille et s’engage dans l’armée française. Il se tourne vers Sauvinger qui croit en son innocence et lui sert de lien avec sa Heimat. Il se console également avec la pensée que sa mère morte veille sur lui et le protégera pendant la guerre, car elle l’a toujours accepté comme il est. À Noël en 1917, François est également recruté dans l’armée mais du côté allemand. Tordu de remords, il pense ne jamais pouvoir retourner chez son père car il mérite une punition divine. À l’armistice en 1918, on assiste à la réunion des deux frères avec le père, sains et saufs à part François qui a perdu la mobilité d’un bras. Lucien est pardonné par le père qui reconnaît de l’avoir faussement soupçonné. Lorsque celui-ci veut punir l’aîné qui fait son aveu de voleur et de menteur, Lucien l’empêche et montre une grandeur d’esprit admirable en pardonnant son frère sans rancœur. La thématique de la situation d’entre-deux de l’Alsace-Lorraine dans la guerre est incarné par les personnages Sauvinger et Pimpe, tout d’abord par la prononciation de leurs noms: le premier un Alsacien fidèle à la France et le deuxième un Allemand qui n’hésite pas de montrer sa supériorité en tant qu’Allemand lors de la guerre. Le ressentiment collectif éprouvé par les Alsaciens contre les Allemands se manifeste à travers les traitements inégaux de Kuenz avec Pimpe qui demande de la viande pour Noël et un simple paysan qui demande un peu de pain pour sa famille de huit personnes. La fin heureuse de la réunion des frères coïncide avec l’armistice et le retour en Alsace, leur véritable Heimat. (Synopsis by A. Li-Thiao-Té, MeThAL)"
19,D'r Amerikaner,"Elsässisches Volksstück in 3 Aufzügen|von Paul Clemens, Membre du Théâtre Alsacien",clemens-dr-amerikaner,html,,,,,,Q96464291,Paul Clemens,3,"Société Alsacienne d'Édition (Alsatia), Colmar",,10,,,,comedy,volksstück,rurale,Q106555028,bpt6k9109542x,,,Numistral,,,,,,,1920,,,,,,,3,,,ger,Personen:,,,,"Dans cette pièce en trois actes, les personnages souhaitent installer une lampe électrique. Afin d’y parvenir, Maire prend contact avec son cousin américain Antoine, qui leur a envoyé une lettre depuis l’Amérique. C’était l’idée de Schierejerry, Antoine avait peut-être besoin d’une lampe. Ils préparent donc tout pour l’arrivée de l’américain. Alors que le cousin devait arriver, d’autres personnages prennent son identité : Streifer et Klüwer. Streifer se fait passer pour Antoine Schnell, et Klüwer pour Wambo, son domestique. Les deux veulent voler de l’argent à Maire, et demandent donc aux autres personnages s’il est riche, s’il ne craînt pas les vols, etc. Cependant, Matter, Groshans et Schierejerry se rendent compte que ce n’est pas le vrai cousin. Le vrai Antoine intervient alors au troisième acte. Ils se rendent compte que le faux est un voleur et la police vient les interroger. Pendant ce temps, les autres fêtent avec le vrai Antoine. (Synopsis by L. Camillone, MeThAL)"
20,D'r Hans im Schnokeloch,"Volksspiel in 4 Aufzügen mit Musik, Gesang und Tanz von Ferd. Bastian",bastian-dr-hans-im-schnokeloch,tei,2,,,,,Q13099282,Ferdinand Bastian,1,Druck und Verlag: Imprimerie du Nouveau Journal de Strasboug S. à. r. l.,,23,"Elsässische Volksbucher, No 12",,,comedy,volksspiel,rurale/4. urbaine,Q106592612,bpt6k9109742m,,,Numistral,,,,,C. A. Vomhoff,5,1903,1930,,,,,,4,,,ger,Personen:,,,,"Volksspiel en 4 actes avec de la musique et de la danse. Hans est un paysan élevé par ses deux tantes. Tante Angenes (Agnès) le gâte tandis que Tante Lehn (Madeleine), la plus dominante des deux sœurs, essaie d’être le contrepoids. Hans est en âge de se marier mais n’a pas envie de se soumettre à cette demande sociétale - il préférerait voyager en Amérique, terre mystique  mystérieuse qui représente l’aventure, la fortune et le bonheur pour lui. Le leitmotiv de la pièce est l’insatisfaction perpétuelle de Hans comme décrite dans la petite comptine: Hans a tout ce qu’il veut, mais ce qu’il veut, il ne l’a pas et ce qu’il a, il ne le veut pas. Beaucoup de scènes comiques, surtout au moment du choix de la future mariée à l’aide d’un test, auquel seule Urschel, la protégée de Lehn réussit. Hans tombe amoureux d’elle, obtient sa main en mariage et a même une petite fille. Tout semble idyllique, mais Hans est démesurément furieux et déçu du fait que le bébé n’est pas un garçon. Après avoir résolu le mystère du changement de sexe de l’enfant (échange involontaire lors du baptême), Hans retombe dans son trou noir de mécontentement et a l’impression que tout est contre lui, émettant maintes propos d’apitoiement sur son sort malheureux et parfois misogynes. Lorsque la maison prend feu, au lieu de tout faire pour sauver son nid familial, il décide d’abandonner lâchement sa femme, son enfant et sa tante pour chercher sa fortune en Amérique. Le dernier acte met en scène son retour après cinq ans. Hans espère retrouver sa vie d’avant car il est enfin devenu assez mature pour porter ses responsabilités, mais il vient trop tard: son enfant et sa tante Angenes ont péri dans le feu, sa femme Urschel a décidé de ne plus l’attendre et de marier quelqu’un d’autre, et il ne reste plus rien qui lui appartient de sa vie d’avant. La pièce revêt un ton tragique et moralisant à la fin avec Hans qui répète le refrain de la comptine tristement: le public comprend qu’il est très important d’apprécier ce que l’on possède réellement, au lieu de perdre son temps à courir après des rêves abstraits et non réalistes.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
21,D'r verhàxt Herbst,"Lustoperettle uf Colmererditsch, én vièr Acte|vo J. Mangold, Pastébeck|Musik vo J. B. Weckerlin, du Conservatoire de Paris",mangold-dr-verhaxt-herbst,ntav,,,,,,Q52084151,Jean Thomas Mangold,15,J. B. Jung,"J.-B. Weckerlin, du Conservatoire de Paris",12,,,,comedy,lustoperettle,petite ville,,bpt6k9400879x,,,Numistral,,,,,,,1879,,,,,,,4,1:6 scenes - 2:14 scenes - 3:8 scenes - 4:10 scenes,,gsw,Pàrsone.,,,,
22,D'r Döüsigmarkschin,Schwank in einem Aufzug|in Straßburger Mundart,greber-dr-dousigmarkschin,ntav,2,,,,,Q91904226,Julius Greber,5,Schlesier & Schweikhardt,,1,,,,comedy,schwank,petite ville,,bpt6k9109555j,,,Numistral,,,,,,,1906,,,,,,,1,,,ger,Personen.,,,,
24,D'r Hüssjé,Luschtpiel in 1 Act|von D. G. Ad. Horsch,horsch-dr-hussje,ntav,,,,,,Q13099277,Adolphe Horsch,9,"A. Ammel, Verlagsbuchhandlung",,8,,,,comedy,lustspiel,urbaine,,bpt6k91095707,,,Numistral,,,,,,,1897,,,,,,,1,6,,,,,,,
25,In dr Awril g'schickt,Lustspiel in zwei Akten|von M. Weigel,weigel-in-dr-awril-gschickt,html,2,,,,,Q97120060,Madeleine Weigel,30,Salvator-Verlag Múlhausen 409,,13,Salvator-Theater Sammlung Ernster und Heiterer Theaterstúcke,,,comedy,lustspiel,urbaine,,bpt6k9109668h,,,Numistral,,,,,,,1930,,,,,,,2,1:8 scenes - 2:11 scenes,,,,,,has list of plays with women characters,
26,L'oubli? (Das Vergessen?),Dramatische Skizze in einem Akt,gunther-l-oubli,html,,,,,,Q96475104,Hermann Günther,6,Verlag des Elsässischen Theaters Strassburg,,14,,,,drama,,urbaine,Q106594049,bpt6k9109567r,,,Numistral,,,,,,,1905,,,,,,,1,15,,,,,,,"Pièce de théâtre très courte, tragédie. Une veuve a perdu son mari dans la guerre et élève seule son fils unique qui n’a jamais connu de figure paternelle. Trente ans plus tard, celui-ci tente de la convaincre de déménager avec lui et sa femme mais la veuve reste réticente car il s’agit du lieu où son mari a perdu sa vie. Cependant, avec l’arrivée inattendue de l’amante de la veuve, la vérité entre en plein jour: le fils est en fait issu de cette union clandestine. L’amant déclare sa flamme toujours brûlante pour la veuve après trente ans et aimerait enfin pouvoir profiter de l’amour de façon officielle en s’intégrant dans la famille. Mais le fils, sans savoir qu’il parle avec son père biologique, refuse l’offre de pouvoir enfin rencontrer le père inconnu - il préfère rester dans l’ignorance plutôt que de remettre toute sa vie en question et de tout recommencer. Ainsi les deux vieux amoureux n’ont d’autre choix que d’abandonner l’idée d’une réunion.  (Synopsis by A. Li-Thiao-Té, MeThAL)"
27,Zum 70. Geburtstag,Lustspiel in zwei Aufzügen|von M. Weigel,weigel-zum-70-geburtstag,html,,,,,,Q97120060,Madeleine Weigel,30,Salvator-Verlag Múlhausen,,13,Salvator-Theater Sammlung Ernster und Heiterer Theaterstúcke 418,,,comedy,lustspiel,rurale,Q106561026,bpt6k9109677g,,,Numistral,,,,,,,1932,,,,,,,2,1:6 scenes - 2:6 scenes,,gsw,Personen:,,,has list separating Volksstück / Drama from Lustspiel / Schwank,
