,word,valence,arousal,dominance
78,abondance,0.812,0.690,0.852
79,abondant,0.958,0.590,0.760
80,abuser de,0.071,0.873,0.469
81,abusé,0.021,0.874,0.235
82,injurieux,0.125,0.903,0.567
83,butée,0.500,0.265,0.616
84,NO TRANSLATION,0.385,0.452,0.368
85,épouvantable,0.250,0.710,0.598
86,abîme,0.353,0.725,0.296
87,académique,0.781,0.420,0.812
88,académie,0.704,0.473,0.792
89,adhérer,0.698,0.510,0.537
90,accélérateur,0.643,0.844,0.802
91,accélérer,0.615,0.902,0.759
92,accéléré,0.610,0.812,0.682
93,accélération,0.704,0.905,0.843
94,accélérateur,0.593,0.830,0.812
95,accent,0.598,0.357,0.509
96,accentuer,0.673,0.556,0.667
97,Acceptez,0.847,0.286,0.565
98,acceptable,0.812,0.286,0.583
99,acceptation,0.833,0.287,0.755
100,acceptations,0.847,0.413,0.648
101,accès,0.714,0.472,0.567
102,accessible,0.796,0.410,0.645
103,accession,0.612,0.383,0.636
104,accessoire,0.562,0.292,0.445
105,accident,0.125,0.908,0.336
106,accidentel,0.319,0.784,0.307
107,accidentellement,0.333,0.741,0.333
108,acclamer,0.562,0.809,0.718
109,accolade,0.688,0.591,0.775
110,accommoder,0.844,0.375,0.566
111,hébergement,0.817,0.415,0.587
112,accompagnement,0.740,0.479,0.695
113,accompagner,0.833,0.406,0.585
114,accompagnement,0.787,0.460,0.582
115,complice,0.408,0.580,0.510
116,accomplir,0.929,0.673,0.816
117,accompli,0.870,0.520,0.798
118,accomplissement,0.917,0.694,0.888
119,accord,0.898,0.264,0.382
120,conformité,0.659,0.349,0.600
121,accordéon,0.604,0.490,0.361
122,Compte,0.531,0.347,0.472
123,responsabilité,0.755,0.537,0.833
124,responsable,0.709,0.282,0.777
125,comptable,0.625,0.450,0.639
126,comptabilité,0.552,0.390,0.677
127,comptes,0.592,0.340,0.471
128,accrédité,0.669,0.479,0.768
129,accumulation,0.448,0.519,0.672
130,accumuler,0.520,0.481,0.602
131,NO TRANSLATION,0.450,0.451,0.470
132,accumuler,0.573,0.536,0.607
133,accumulation,0.479,0.527,0.600
134,précision,0.604,0.481,0.802
135,précis,0.743,0.360,0.737
136,maudit,0.135,0.745,0.345
137,accusation,0.073,0.718,0.564
138,accusatif,0.198,0.755,0.482
139,accuser,0.133,0.752,0.500
140,accusé,0.130,0.670,0.420
141,accusateur,0.122,0.779,0.615
142,accuser,0.156,0.745,0.324
143,habitué,0.542,0.365,0.441
144,as,0.643,0.481,0.546
145,acétique,0.333,0.420,0.519
146,acétylène,0.306,0.469,0.509
147,mal,0.146,0.760,0.312
148,atteindre,0.816,0.545,0.843
149,atteint,0.896,0.519,0.775
150,réussite,0.896,0.808,0.759
151,douloureux,0.053,0.880,0.348
152,achy,0.167,0.840,0.373
153,acide,0.265,0.642,0.566
154,acidité,0.156,0.663,0.360
155,reconnaître,0.786,0.370,0.661
156,reconnu,0.714,0.443,0.765
157,reconnaissance,0.819,0.539,0.830
158,reconnaissance,0.796,0.528,0.777
159,acmé,0.408,0.435,0.375
160,acné,0.167,0.474,0.308
161,gland,0.448,0.198,0.192
162,acoustique,0.542,0.462,0.536
163,acoustique,0.611,0.330,0.509
164,informer,0.646,0.491,0.639
165,connaissance,0.656,0.290,0.670
166,connaissance,0.906,0.358,0.632
167,consentement,0.542,0.480,0.554
168,acquérir,0.833,0.468,0.700
169,acquérir,0.735,0.510,0.817
170,acquisition,0.698,0.509,0.736
171,les acquisitions,0.773,0.660,0.790
172,acquitter,0.583,0.571,0.611
173,acquittement,0.760,0.497,0.700
174,acre,0.583,0.387,0.423
175,superficie,0.741,0.450,0.528
176,acres,0.510,0.363,0.500
177,acrobate,0.708,0.828,0.602
178,acrylique,0.582,0.279,0.420
179,acte,0.656,0.704,0.735
180,agissant,0.698,0.643,0.500
181,action,0.760,0.898,0.802
182,figurine,0.615,0.774,0.611
183,actionable,0.673,0.702,0.613
184,Activer,0.764,0.650,0.806
185,Activation,0.781,0.800,0.754
186,actif,0.847,0.730,0.731
187,activiste,0.531,0.653,0.877
188,activité,0.701,0.660,0.807
189,acteur,0.653,0.561,0.629
190,actrice,0.633,0.556,0.596
191,réel,0.729,0.400,0.716
192,actualité,0.750,0.464,0.600
193,actuaire,0.510,0.404,0.491
194,acuité,0.469,0.378,0.741
195,perspicacité,0.564,0.660,0.679
196,acupuncture,0.531,0.324,0.549
197,aigu,0.427,0.652,0.534
198,intensément,0.417,0.543,0.491
199,un d,0.521,0.705,0.558
200,adage,0.517,0.415,0.566
201,catégorique,0.344,0.529,0.575
202,adapter,0.740,0.355,0.551
203,adaptable,0.735,0.423,0.641
204,adaptation,0.663,0.365,0.609
205,ajouter,0.728,0.490,0.554
206,ajoutée,0.562,0.405,0.509
207,Addenda,0.392,0.370,0.418
208,additionneur,0.388,0.461,0.588
209,toxicomane,0.075,0.696,0.327
210,intoxiqué,0.156,0.712,0.483
211,dépendance,0.180,0.806,0.420
212,addictif,0.302,0.683,0.472
213,une addition,0.562,0.373,0.471
214,Additionnel,0.673,0.462,0.526
215,additif,0.561,0.633,0.691
216,adresse,0.650,0.327,0.567
217,destinataire,0.622,0.382,0.538
218,adresses,0.510,0.354,0.450
219,expert,0.594,0.539,0.789
220,adéquation,0.615,0.435,0.702
221,adéquat,0.854,0.264,0.705
222,adhérer,0.633,0.339,0.554
223,adhérence,0.760,0.307,0.630
224,adhérent,0.561,0.385,0.555
225,adhérant,0.612,0.561,0.537
226,adhésion,0.521,0.445,0.586
227,adhésif,0.604,0.350,0.413
228,Adieu,0.250,0.471,0.342
229,adipeux,0.333,0.350,0.391
230,proximité,0.365,0.417,0.375
231,adjacent,0.645,0.276,0.536
232,adjectif,0.570,0.316,0.569
233,attenant,0.520,0.400,0.393
234,ajourner,0.385,0.456,0.475
235,ajournement,0.438,0.510,0.370
236,juger,0.559,0.520,0.683
237,arbitrage,0.551,0.462,0.691
238,auxiliaire,0.459,0.440,0.426
239,régler,0.647,0.327,0.638
240,ajusteur,0.510,0.540,0.760
241,ajustement,0.590,0.520,0.661
242,adjuvant,0.510,0.500,0.456
243,administrateur,0.688,0.420,0.854
244,administrer,0.635,0.425,0.860
245,administration,0.625,0.404,0.786
246,administratif,0.542,0.415,0.579
247,administrateur,0.538,0.480,0.902
248,admirable,0.929,0.600,0.870
249,amiral,0.844,0.490,0.847
250,amirauté,0.594,0.547,0.733
251,admiration,0.969,0.583,0.726
252,admirer,0.867,0.692,0.704
253,admiré,0.917,0.560,0.815
254,admirateur,0.796,0.720,0.650
255,admiratif,0.867,0.578,0.629
256,admissibilité,0.802,0.580,0.602
257,admissible,0.780,0.528,0.642
258,admission,0.802,0.415,0.732
259,admettre,0.538,0.423,0.667
260,admission,0.690,0.451,0.598
261,admis,0.720,0.490,0.767
262,admettant,0.620,0.500,0.546
263,mélange,0.450,0.375,0.438
264,admonition,0.357,0.606,0.455
265,ado,0.520,0.423,0.385
266,adobe,0.500,0.319,0.328
267,adolescence,0.487,0.694,0.444
268,adolescent,0.781,0.680,0.509
269,adopter,0.694,0.612,0.701
270,adoption,0.625,0.566,0.589
271,adoptif,0.531,0.469,0.520
272,adorable,0.969,0.519,0.457
273,adoration,0.885,0.699,0.708
274,adorer,0.854,0.438,0.657
275,adorer,0.885,0.620,0.717
276,orner,0.910,0.424,0.482
277,ornement,0.918,0.373,0.377
278,adrénaline,0.865,0.920,0.786
279,adrénaline,0.765,0.965,0.825
280,à la dérive,0.398,0.486,0.230
281,adulte,0.815,0.491,0.787
282,frelaté,0.188,0.865,0.370
283,adultère,0.229,0.814,0.407
284,adultère,0.120,0.922,0.510
285,l'âge adulte,0.541,0.454,0.652
286,avance,0.673,0.472,0.858
287,Avancée,0.844,0.623,0.797
288,avancement,0.776,0.650,0.839
289,avancer,0.929,0.608,0.812
290,avantage,0.917,0.548,0.859
291,avantageux,0.837,0.640,0.789
292,avènement,0.665,0.560,0.627
293,aventure,0.917,0.857,0.710
294,aventurier,0.781,0.839,0.868
295,aventures,0.812,0.764,0.749
296,aventureux,0.969,0.898,0.722
297,adversaire,0.349,0.777,0.457
298,négatif,0.323,0.610,0.385
299,adversité,0.276,0.760,0.538
300,afficher,0.500,0.529,0.580
301,publicité,0.600,0.566,0.539
302,La publicité,0.622,0.608,0.632
303,Annonces,0.551,0.500,0.595
304,Conseil,0.698,0.408,0.688
305,conseillé,0.867,0.480,0.510
306,conseiller,0.760,0.393,0.705
307,informé,0.823,0.330,0.509
308,conseil,0.698,0.235,0.655
309,conseiller,0.745,0.362,0.705
310,conseiller,0.646,0.350,0.689
311,consultatif,0.656,0.429,0.633
312,plaidoyer,0.500,0.646,0.731
313,avocat,0.551,0.530,0.818
314,égide,0.490,0.439,0.462
315,aération,0.550,0.500,0.433
316,aérien,0.615,0.461,0.463
317,aérobie,0.708,0.771,0.627
318,aérodrome,0.541,0.740,0.678
319,aérodynamique,0.561,0.724,0.728
320,aérodynamique,0.590,0.663,0.722
321,aéronautiques,0.551,0.633,0.688
322,avion,0.714,0.642,0.644
323,aérospatial,0.643,0.520,0.779
324,esthétique,0.708,0.442,0.526
325,esthétique,0.847,0.327,0.549
326,étiologie,0.480,0.398,0.615
327,au loin,0.396,0.373,0.358
328,affable,0.704,0.380,0.452
329,affaire,0.520,0.459,0.657
330,affecter,0.458,0.569,0.578
331,affectant,0.350,0.574,0.394
332,affection,0.898,0.559,0.696
333,affectueux,0.949,0.422,0.550
334,affections,0.760,0.547,0.655
335,NO TRANSLATION,0.479,0.265,0.402
336,affidavit,0.469,0.584,0.526
337,affilié,0.673,0.519,0.535
338,affiliation,0.615,0.594,0.500
339,affinité,0.800,0.500,0.537
340,affirmer,0.745,0.509,0.731
341,affirmation,0.750,0.500,0.689
342,affirmative,0.854,0.589,0.816
343,affirmativement,0.908,0.500,0.811
344,affixe,0.438,0.335,0.411
345,affliger,0.302,0.555,0.293
346,affligé,0.271,0.500,0.167
347,affliction,0.294,0.635,0.392
348,richesse,0.663,0.618,0.722
349,affluent,0.756,0.388,0.477
350,offrir,0.571,0.580,0.575
351,abordable,0.840,0.398,0.493
352,affront,0.327,0.740,0.547
353,affronté,0.385,0.750,0.527
354,un champ,0.594,0.370,0.373
355,un feu,0.367,0.904,0.675
356,à flot,0.602,0.427,0.444
357,avant,0.500,0.337,0.382
358,susmentionné,0.490,0.316,0.408
359,précité,0.531,0.358,0.478
360,peur,0.010,0.775,0.245
361,de nouveau,0.643,0.521,0.480
362,africain,0.490,0.423,0.555
363,à l'arrière,0.480,0.417,0.518
364,vie après la mort,0.571,0.567,0.568
365,conséquences,0.312,0.449,0.444
366,après midi,0.533,0.388,0.339
367,après-rasage,0.406,0.384,0.415
368,arrière-goût,0.354,0.362,0.455
369,après-coup,0.396,0.392,0.349
370,NO TRANSLATION,0.542,0.327,0.398
371,bouche bée,0.612,0.529,0.464
372,agate,0.540,0.377,0.483
373,âge,0.561,0.226,0.498
374,vieilli,0.135,0.365,0.236
375,agence,0.460,0.296,0.583
376,ordre du jour,0.531,0.296,0.553
377,agent,0.480,0.439,0.755
378,une agglomération,0.450,0.765,0.509
379,aggraver,0.224,0.770,0.464
380,aggravé,0.079,0.760,0.430
381,aggrave,0.108,0.778,0.357
382,aggravant,0.257,0.794,0.640
383,aggravation,0.071,0.784,0.613
384,agrégat,0.730,0.378,0.556
385,agrégation,0.583,0.517,0.694
386,NO TRANSLATION,0.059,0.971,0.639
387,agression,0.094,0.929,0.533
388,agressif,0.125,0.949,0.648
389,agressivement,0.250,0.926,0.688
390,agressivité,0.077,0.913,0.648
391,agresseur,0.146,0.948,0.823
392,agh,0.260,0.500,0.400
393,atterré,0.133,0.865,0.464
394,NO TRANSLATION,0.281,0.635,0.243
395,agile,0.800,0.657,0.775
396,agilité,0.720,0.702,0.815
397,vieillissement,0.214,0.255,0.284
398,agiter,0.300,0.796,0.593
399,agité,0.444,0.882,0.491
400,agitation,0.240,0.931,0.447
401,embrasé,0.780,0.510,0.797
402,agnostique,0.306,0.396,0.574
403,depuis,0.317,0.280,0.404
404,angoissant,0.083,0.800,0.340
405,agonie,0.083,0.775,0.393
406,agoraphobie,0.127,0.712,0.438
407,se mettre d'accord,0.906,0.260,0.545
408,agréable,0.906,0.500,0.696
409,D'accord,0.797,0.449,0.574
410,d'accord,0.854,0.480,0.557
411,accord,0.760,0.440,0.736
412,NO TRANSLATION,0.083,0.918,0.751
413,agricole,0.686,0.321,0.473
414,agriculture,0.640,0.357,0.465
415,échoué,0.333,0.340,0.445
416,NO TRANSLATION,0.598,0.180,0.436
417,devant,0.708,0.520,0.673
418,ahhh,0.562,0.517,0.241
419,NO TRANSLATION,0.552,0.649,0.288
420,ahoy,0.500,0.497,0.380
421,aide,0.796,0.491,0.541
422,aide,0.724,0.342,0.434
423,aider,0.643,0.533,0.569
424,sida,0.561,0.480,0.500
425,tous,0.375,0.434,0.385
426,malade,0.094,0.518,0.153
427,maladie,0.146,0.734,0.277
428,objectif,0.481,0.569,0.567
429,sans but,0.150,0.267,0.183
430,air,0.708,0.163,0.427
431,airbag,0.510,0.402,0.433
432,aéroporté,0.542,0.519,0.385
433,avion,0.646,0.644,0.691
434,porte-avions,0.490,0.740,0.727
435,aérodrome,0.601,0.650,0.645
436,airhead,0.271,0.481,0.276
437,transport aérien,0.573,0.622,0.642
438,Compagnie aérienne,0.650,0.482,0.688
439,avion de ligne,0.667,0.777,0.647
440,airlock,0.398,0.520,0.447
441,aviateur,0.587,0.716,0.721
442,avion,0.719,0.702,0.708
443,aéroport,0.729,0.684,0.682
444,airs,0.583,0.196,0.370
445,dirigeable,0.542,0.472,0.529
446,espace aérien,0.562,0.510,0.640
447,vitesse,0.583,0.780,0.544
448,bande d'atterrissage,0.550,0.690,0.649
449,hermétique,0.479,0.381,0.570
450,voie aérienne,0.638,0.585,0.482
451,rayon,0.438,0.222,0.283
452,NO TRANSLATION,0.385,0.390,0.402
453,NO TRANSLATION,0.460,0.413,0.446
454,alias,0.459,0.358,0.351
455,proche,0.639,0.343,0.523
456,albâtre,0.542,0.404,0.445
457,alarme,0.241,0.882,0.698
458,réveil,0.542,0.727,0.642
459,alarmé,0.188,0.822,0.492
460,alarmant,0.204,0.890,0.585
461,Hélas,0.571,0.310,0.279
462,NO TRANSLATION,0.521,0.380,0.427
463,albatros,0.500,0.445,0.527
464,albinos,0.500,0.240,0.358
465,album,0.635,0.349,0.453
466,alchimie,0.541,0.583,0.693
467,de l'alcool,0.323,0.667,0.377
468,alcoolique,0.153,0.688,0.361
469,alcoolisme,0.061,0.779,0.407
470,alcôve,0.490,0.340,0.356
471,échevin,0.550,0.459,0.691
472,NO TRANSLATION,0.530,0.450,0.358
473,alerte,0.479,0.820,0.648
474,vigilance,0.375,0.875,0.750
475,alertes,0.337,0.804,0.673
476,luzerne,0.546,0.250,0.311
477,algèbre,0.440,0.340,0.565
478,algébrique,0.531,0.412,0.441
479,algorithme,0.448,0.394,0.559
480,alias,0.541,0.353,0.333
481,alibi,0.396,0.528,0.556
482,extraterrestre,0.410,0.615,0.491
483,aliéner,0.247,0.500,0.523
484,aliéné,0.410,0.423,0.559
485,aliénation,0.378,0.530,0.462
486,une lumière,0.667,0.657,0.605
487,aligner,0.656,0.364,0.627
488,aligné,0.583,0.275,0.553
489,alignement,0.643,0.412,0.683
490,ressemblent,0.653,0.173,0.444
491,NO TRANSLATION,0.781,0.551,0.602
492,pension,0.612,0.477,0.464
493,aliquote,0.440,0.310,0.404
494,vivant,0.816,0.637,0.731
495,alcali,0.490,0.350,0.408
496,alcaloïdes,0.433,0.562,0.402
497,allay,0.417,0.406,0.398
498,allégation,0.578,0.578,0.608
499,alléguer,0.418,0.482,0.587
500,allégué,0.365,0.522,0.520
501,allégeance,0.917,0.398,0.750
502,allégorique,0.517,0.558,0.598
503,allégorie,0.615,0.580,0.509
504,allegro,0.635,0.627,0.453
505,allergique,0.135,0.549,0.273
506,allergie,0.296,0.606,0.389
507,soulager,0.869,0.270,0.528
508,allégement,0.735,0.200,0.491
509,ruelle,0.347,0.500,0.355
510,ruelle,0.357,0.471,0.382
511,Alliance,0.696,0.473,0.769
512,allié,0.714,0.245,0.642
513,alligator,0.354,0.704,0.645
514,allouer,0.673,0.462,0.672
515,allocation,0.604,0.388,0.679
516,attribuer,0.622,0.481,0.616
517,attribution,0.600,0.390,0.640
518,permettre,0.698,0.429,0.538
519,admissible,0.698,0.500,0.561
520,allocation,0.673,0.382,0.591
521,permis,0.730,0.360,0.655
522,alliage,0.583,0.443,0.593
523,NO TRANSLATION,0.786,0.528,0.430
524,séduire,0.804,0.585,0.686
525,séduisant,0.837,0.745,0.843
526,allusion,0.440,0.308,0.462
527,alluvial,0.323,0.490,0.491
528,allié,0.792,0.320,0.688
529,almanach,0.688,0.190,0.412
530,tout-puissant,0.938,0.874,0.958
531,amande,0.698,0.183,0.314
532,en haut,0.771,0.373,0.700
533,aloha,0.698,0.440,0.441
534,seul,0.333,0.167,0.216
535,aux côtés de,0.458,0.333,0.347
536,distant,0.189,0.423,0.302
537,à haute voix,0.458,0.713,0.750
538,alpha,0.708,0.340,0.755
539,alphabet,0.562,0.204,0.672
540,alphabétique,0.537,0.296,0.535
541,alpin,0.594,0.337,0.474
542,NO TRANSLATION,0.592,0.717,0.351
543,autel,0.724,0.387,0.635
544,garçon d'autel,0.434,0.206,0.350
545,modifier,0.333,0.694,0.654
546,altération,0.167,0.798,0.609
547,altercation,0.170,0.806,0.500
548,altéré,0.255,0.765,0.500
549,alterner,0.625,0.363,0.589
550,en alternance,0.480,0.494,0.542
551,alternative,0.628,0.373,0.631
552,altimètre,0.615,0.510,0.580
553,altitude,0.708,0.482,0.736
554,alto,0.656,0.404,0.730
555,tout à fait,0.833,0.324,0.644
556,aluminium,0.449,0.280,0.434
557,ancien élève,0.633,0.368,0.422
558,alvéolaire,0.469,0.481,0.367
559,NO TRANSLATION,0.194,0.518,0.319
560,amalgame,0.438,0.333,0.510
561,fusion,0.406,0.470,0.531
562,Amaretto,0.543,0.551,0.375
563,amasser,0.552,0.465,0.465
564,amateur,0.469,0.500,0.409
565,étonner,0.896,0.843,0.783
566,étonné,0.796,0.779,0.533
567,étonnement,0.827,0.872,0.510
568,stupéfaction,0.750,0.800,0.639
569,incroyable,0.906,0.837,0.849
570,étonnamment,0.918,0.765,0.920
571,ambassadeur,0.651,0.529,0.917
572,ambre,0.635,0.308,0.369
573,ambiance,0.735,0.356,0.426
574,ambiant,0.625,0.360,0.582
575,ambiguïté,0.164,0.460,0.370
576,ambigu,0.265,0.462,0.358
577,portée,0.479,0.380,0.386
578,ambition,0.510,0.804,0.661
579,ambitieux,0.484,0.821,0.717
580,ambivalent,0.510,0.404,0.482
581,ambroisie,0.571,0.452,0.480
582,ambulance,0.500,0.750,0.609
583,embuscade,0.281,0.830,0.500
584,améliorer,0.770,0.548,0.747
585,Amen,0.781,0.182,0.542
586,accommodable,0.448,0.410,0.406
587,modifier,0.688,0.406,0.658
588,amendement,0.531,0.459,0.606
589,amende,0.640,0.366,0.517
590,aménité,0.750,0.327,0.574
591,améthyste,0.622,0.406,0.517
592,aimable,0.847,0.290,0.483
593,amical,0.875,0.330,0.507
594,parmi,0.510,0.340,0.256
595,au milieu de,0.480,0.330,0.316
596,amino,0.551,0.402,0.433
597,munitions,0.323,0.765,0.621
598,ammoniac,0.292,0.587,0.409
599,ammonium,0.354,0.396,0.368
600,munition,0.338,0.635,0.667
601,amnésie,0.296,0.330,0.308
602,amnistie,0.551,0.451,0.814
603,amoureux,0.844,0.670,0.636
604,amorphe,0.327,0.402,0.349
605,amortissement,0.592,0.491,0.522
606,montant,0.562,0.422,0.649
607,NO TRANSLATION,0.865,0.480,0.652
608,ampli,0.439,0.393,0.375
609,esperluette,0.480,0.448,0.483
610,amphétamines,0.133,0.667,0.526
611,amphibie,0.427,0.357,0.474
612,amphibie,0.479,0.346,0.445
613,amphithéâtre,0.653,0.480,0.545
614,ample,0.744,0.349,0.719
615,amplification,0.690,0.677,0.810
616,amplifier,0.677,0.735,0.827
617,amplitude,0.694,0.439,0.692
618,amplement,0.781,0.431,0.766
619,amputer,0.092,0.660,0.509
620,amputation,0.100,0.755,0.483
621,amok,0.385,0.602,0.321
622,amulette,0.781,0.260,0.630
623,amuser,0.812,0.684,0.664
624,amusé,0.942,0.847,0.596
625,amusement,0.929,0.837,0.803
626,amusant,0.960,0.829,0.632
627,NO TRANSLATION,0.541,0.300,0.314
628,anaconda,0.146,0.830,0.540
629,anesthésie,0.350,0.217,0.473
630,anesthésique,0.449,0.268,0.509
631,anagramme,0.552,0.327,0.449
632,anal,0.333,0.798,0.334
633,analgésique,0.417,0.321,0.441
634,analogue,0.531,0.270,0.500
635,analogue,0.570,0.320,0.446
636,analogie,0.510,0.367,0.509
637,une analyse,0.729,0.448,0.705
638,analyste,0.604,0.415,0.755
639,analytique,0.665,0.521,0.634
640,analytique,0.625,0.324,0.800
641,analyser,0.667,0.462,0.710
642,analyseur,0.625,0.556,0.854
643,anaphylactique,0.378,0.588,0.500
644,anarchisme,0.125,0.804,0.623
645,anarchiste,0.204,0.700,0.759
646,anarchie,0.146,0.755,0.620
647,anastomose,0.375,0.470,0.490
648,anathème,0.286,0.490,0.519
649,anatomique,0.562,0.442,0.546
650,anatomie,0.562,0.390,0.571
651,ancêtre,0.592,0.388,0.594
652,ancestral,0.640,0.481,0.750
653,ascendance,0.708,0.519,0.717
654,ancre,0.520,0.284,0.564
655,ancrage,0.500,0.325,0.639
656,ancien,0.420,0.217,0.439
657,auxiliaire,0.449,0.442,0.278
658,androgène,0.255,0.523,0.527
659,Android,0.663,0.436,0.500
660,anecdote,0.583,0.529,0.500
661,anémie,0.188,0.327,0.310
662,anémique,0.167,0.279,0.155
663,anémone,0.552,0.538,0.327
664,anesthésie,0.365,0.216,0.394
665,anesthésiste,0.419,0.224,0.526
666,anesthésique,0.350,0.264,0.482
667,anévrisme,0.115,0.690,0.536
668,un nouveau,0.771,0.358,0.385
669,ange,0.906,0.158,0.704
670,angélique,0.927,0.298,0.668
671,colère,0.167,0.865,0.657
672,en colère,0.010,0.860,0.547
673,NO TRANSLATION,0.260,0.632,0.482
674,angine,0.230,0.630,0.464
675,angiogramme,0.347,0.520,0.465
676,angiographie,0.378,0.536,0.520
677,angle,0.541,0.330,0.455
678,pêche à la ligne,0.625,0.408,0.500
679,angora,0.529,0.425,0.405
680,angriest,0.094,0.892,0.430
681,en colère,0.122,0.830,0.604
682,NO TRANSLATION,0.265,0.644,0.471
683,angoisse,0.167,0.888,0.333
684,angoisse,0.153,0.792,0.265
685,angoissé,0.135,0.720,0.307
686,angulaire,0.449,0.281,0.444
687,anhydre,0.456,0.365,0.355
688,animal,0.521,0.510,0.513
689,animer,0.827,0.755,0.635
690,Animé,0.823,0.676,0.538
691,animation,0.888,0.750,0.549
692,animosité,0.510,0.724,0.545
693,animus,0.698,0.676,0.466
694,cheville,0.500,0.274,0.234
695,Bracelet de cheville,0.410,0.276,0.302
696,annales,0.427,0.610,0.424
697,annexe,0.594,0.350,0.458
698,annexion,0.342,0.500,0.555
699,NO TRANSLATION,0.584,0.350,0.392
700,annihiler,0.115,0.918,0.681
701,annihilé,0.080,0.760,0.324
702,annihilation,0.041,0.800,0.591
703,anniversaire,0.880,0.770,0.723
704,annoter,0.592,0.469,0.441
705,annotation,0.604,0.470,0.619
706,annoncer,0.694,0.618,0.611
707,annonce,0.729,0.491,0.482
708,annonceur,0.602,0.570,0.732
709,ennuyer,0.094,0.765,0.286
710,contrariété,0.167,0.718,0.342
711,agacé,0.104,0.783,0.345
712,NO TRANSLATION,0.260,0.573,0.352
713,ennuyeux,0.082,0.853,0.348
714,agace,0.146,0.778,0.435
715,annuel,0.552,0.236,0.500
716,rente,0.521,0.304,0.527
717,annuler,0.250,0.448,0.364
718,annulaire,0.310,0.385,0.412
719,annulation,0.153,0.375,0.447
720,annulus,0.458,0.380,0.376
721,oint,0.500,0.368,0.579
722,onction,0.653,0.350,0.547
723,anormal,0.281,0.480,0.423
724,anomalie,0.188,0.538,0.404
725,anon,0.479,0.354,0.298
726,anonymat,0.469,0.255,0.430
727,anonyme,0.396,0.291,0.431
728,anorexique,0.160,0.618,0.245
729,répondre,0.537,0.373,0.661
730,responsable,0.708,0.481,0.750
731,répondant,0.684,0.500,0.607
732,fourmi,0.448,0.216,0.216
733,antagonisme,0.224,0.618,0.524
734,antagoniste,0.240,0.615,0.700
735,antagoniste,0.296,0.604,0.565
736,contrarier,0.143,0.663,0.629
737,NO TRANSLATION,0.448,0.320,0.417
738,antécédent,0.427,0.551,0.566
739,antilope,0.542,0.510,0.500
740,antenne,0.521,0.327,0.358
741,antérieur,0.510,0.245,0.362
742,hymne,0.780,0.343,0.729
743,fourmilière,0.327,0.578,0.377
744,anthologie,0.338,0.406,0.537
